-23.297,-41.425
-40.106,6.0692
38.067,17.551
-29.326,-22.855
34.07,-3.0209
-14.745,-45.16
1.0775,-47.949
-26.049,37.958
-35.018,20.497
47.433,10.972
-33.328,6.278
-35.647,-22.692
-24.547,-45.943
-33.646,4.5928
34.897,12.631
-24.464,-45.991
-34.624,4.8354
35.491,13.173
-45.232,27.566
-23.736,-12.525
-5.0876,-46.866
-27.038,45.737
-25.797,-46.339
-33.671,6.3096
-1.777,-18.059
-46.678,20.35
18.897,41.159
-39.636,0.045421
34.03,18.733
-40.449,2.0854
32.06,15.611
-40.526,2.0953
32.052,15.595
-38.827,2.5851
36.828,12.917
-33.657,5.4941
35.724,12.255
-33.653,4.681
35.054,12.701
-33.777,4.653
35.365,13.01
-35.66,9.9434
43.157,13.36
-33.804,6.3533
36.044,12.156
-34.5,4.6748
35.436,13.35
-37.29,4.5322
36.085,16.074
-38.526,1.8654
34.141,16.838
-38.452,2.9999
34.801,16.686
-38.745,1.029
33.734,17.154
-35.033,4.4836
35.57,13.648
-39.837,0.81318
34.427,18.27
-38.848,5.5742
37.452,16.291
-38.717,5.5668
41.56,13.072
-33.487,14.976
47.567,13.868
-38.634,1.4385
33.798,16.88
-38.264,-0.7049
33.043,20.593
-37.631,-1.3698
33.027,20.766
-38.17,-1.2888
33.17,20.344
-38.149,-1.6747
31.632,19.45
-35.818,7.0608
37.69,13.21
-35.876,7.0841
37.851,13.282
-35.949,7.1231
38.488,13.935
-37.314,7.2496
38.758,14.171
-36.585,8.7838
39.012,13.926
-36.564,8.7806
38.879,13.912
-34.844,4.6759
35.384,13.432
-38.03,3.4481
34.826,16.317
-38.452,2.6599
34.474,16.661
-37.676,2.3337
46.987,15.932
-37.658,0.99683
35.139,18.729
-37.768,0.27061
32.233,19.661
-37.771,-0.08837
31.943,19.862
-37.695,-3.0513
31.055,20.263
-37.784,-2.9578
31.384,20.23
-37.236,6.1917
37.501,14.56
-38.091,-2.2813
31.65,20.127
-38.075,-2.009
32.419,20.566
-37.282,-1.56
33.098,21.113
-37.84,-0.87065
